Date,Startup Name,Vertical,Sub-Vertical,City,Investor,Type,Amount (in USD),Remarks
09/04/2015,Gadgetwood,Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,
Nitin Singhal & Others",Seed Funding,"200,000",
09/04/2015,Bonhomia,Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"2,000,000",
09/04/2015,Changer Mints,Digital / Mobile Wallet,,Kolkata,Hyderabad based investor,Seed Funding,"165,000",
09/04/2015,Urban Ladder,"Online Furnishing
eCommerce",,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"50,000,000",Series C
09/04/2015,Purple Squirrel,Ed-Tech,,Mumbai,"Matrix Partners India, India Quotient",Private Equity,N/A,Series B
10/04/2015,Whatfix,Interactive How-To Guides,,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"900,000",
10/04/2015,iMMi Life,Mobile Health Tech,,Chennai,Unitus Seed Fund,Seed Funding,N/A,
11/04/2015,Zomato,Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,"25,000,000",Late Stage
13/04/2015,ZopNow,Online Grocer,,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"10,000,000",Series B
13/04/2015,Nayi Disha,Ed-Tech,,New Delhi,"Ajay Relan,",Seed Funding,"300,000",
13/04/2015,The Porter,Logistics Tech,,Mumbai,Kae Capital,Seed Funding,"500,000",
13/04/2015,Commeasure,Online Hotel Booking,,Noida,Jungle Ventures,Seed Funding,"1,000,000",
13/04/2015,Capricoast,Online Kitchen Furniture,,Bangalore,Accel Partners India,Seed Funding,"1,250,000",
14/04/2015,LocalOye,Hyper-local Online Services,,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"5,000,000",Series A
15/04/2015,Grofers,Hyper-Local Online/Mobile Grocery,,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"35,000,000",Series B
15/04/2015,PepperTap,Hyper-Local Online/Mobile Grocery,,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"10,000,000",Series A
15/04/2015,PolicyBazaar,Online Policy Aggregator,,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"40,000,000",Series D
16/04/2015,UrbanClap,Hyperlocal Mobile Services Marketplace,,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"1,600,000",
16/04/2015,Taskbob,"OnDemand
Mobile Handyman Services",,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"1,200,000",
17/04/2015,Robosoft,Mobile App Development,,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"12,000,000",Series B
18/04/2015,Doormint,On-Demand Handyman Services,,Mumbai,Powai Lake Ventures,Seed Funding,N/A,
20/04/2015,Vyomo,Beauty & Wellness Mobile App,,Gurgaon,YouWeCan Ventures,Seed Funding,N/A,
20/04/2015,Pastiwala,Material Collection & Recycling,,Vadodara,Agnus Capital,Private Equity,"4,000,000",Series A
20/04/2015,1mg (Healthkartplus),Online Pharmacy & Drug DB,,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"6,000,000",Series A
20/04/2015,Freshdesk,Online / Mobile Customer Support,,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"50,000,000",Series E
20/04/2015,Sulekha.com,Online Classifieds & Listings,,Chennai,GIC ventures,Private Equity,"28,000,000",Series C
22/04/2015,FindYahan,Hyperlocal services marketplace,,New Delhi,The Phoenix Fund,Private Equity,N/A,Series A
22/04/2015,Eat.Shop.Love,Fashion ECommerce,,Bangalore,Undisclosed Investor,Private Equity,"3,500,000",Series A
22/04/2015,Avanti Learning,Private Coaching Centers,,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"1,500,000",Series A
23/04/2015,Simplilearn,Online Certification Courses,,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"15,000,000",Series C
23/04/2015,Craftstvilla,Ethnic Product eCommerce,,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"18,000,000",Series B
23/04/2015,HeadOut,Last Minute Travel Deals mobile marketplace,,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"1,800,000",
23/04/2015,happay,business expense management,,Bangalore,AngelPrime,Seed Funding,"500,000",
23/04/2015,Jugnoo,Auto Rickshaw based Logistics,,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"1,000,000",
23/04/2015,EazyDiner,Restaurant reservation app,,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,N/A,
23/04/2015,Phone Warrior,Spam Call block App,,New Delhi,Lightspeed Ventures,Seed Funding,N/A,Pre-Series A
24/04/2015,Coverfox,Online Insurance Aggregator,,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"12,000,000",Series B
27/04/2015,Torqus,Restaurant Management Platform,,Pune,S S Mukherji & Others,Seed Funding,"350,000",
27/04/2015,Grab,Food Logistics & Delivery,,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,"1,000,000",
27/04/2015,LogicRoots,Interactive Educational Games,,Jaipur,"Ah! Ventures, Calcutta Angels, 91SpringBoard",Seed Funding,"400,000",
27/04/2015,GIBBS,Clean Tech,,New Delhi,Infuse Ventures fund,Private Equity,N/A,Series B
28/04/2015,Babajobs,Grey collar Job Board,,Bangalore,SEEK Ltd & affiliates,Private Equity,"10,000,000",Series B
28/04/2015,Urban Ladder,Online Furniture ecommerce,,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,N/A,Series D
28/04/2015,Jay Robotix,Robotic Program learning,,Hyderabad,Cross Border Angels & others,Seed Funding,"250,000",
28/04/2015,Naaptol.com,Tele-Shopping / eCommerce,,Mumbai,Mitsui & Co & existing investors,Private Equity,"21,500,000",Series C
29/04/2015,ReGlobe,Used Gadgets Buy / Refurbishing,,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,"1,000,000",
29/04/2015,Icertis,Cloud Enterprise Software,,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,"6,000,000",Series A
29/04/2015,Tracxn,Startup Analytics platform,,Bangalore,SAIF Partners,Private Equity,"3,500,000",Series A
29/04/2015,Dazo,Mobile Food Ordering app,,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,N/A,
29/04/2015,Tradelab,Financial Markets Software,,Bangalore,Rainmatter,Seed Funding,"400,000",
29/04/2015,PiQube,Hiring Analytics platform,,Chennai,The HR Fund,Seed Funding,"500,000",
29/04/2015,Travel Triangle,Online Travel Marketplace,,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,"8,000,000",Series B
01/05/2015,Foodpanda,Online Food Delivery,,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,"100,000,000",Series D
